FieldExperimentSite,Ppumila_Population,InvasionHistory_FieldDestinationSite,PpumilaPopulation_HistoryCoexistence_Apetiolata,TotalFluorescence,InitialSeedlingSize_leaves,num_AMFspecies,FaithPhylogeneticDiversity,Paraglomus_brasilianum,Paraglomus_occultum,Acaulospora_cavernata,Acaulospora_longula,Acaulospora_spinosa,Diversispora_epigaea,Diversispora_species2,Claroideoglomus_etunicatum,Claroideoglomus_species,Claroideoglomus_claroideum,Glomus_indicum,Glomus_iranicum,Rhizophagus_clarus,Rhizophagus_irregularis,Rhizophagus_species,Sclerocystis_sinuosa,Septoglomus_africanum
WNF,WNF,15.8,15.8,19883,4,4,0.31370374,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
WNF,WNF,15.8,15.8,9457,6,4,0.31370374,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0
WNF,WNF,15.8,15.8,10813,4,5,0.33490672,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0
WNF,WNF,15.8,15.8,13151,4,5,0.23623387,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
WNF,WNF,15.8,15.8,29425,4,7,0.38037939,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
BNP,BNP,44.68,44.68,11100,4,5,0.23623387,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1
BNP,BNP,44.68,44.68,8157,4,5,0.31656365,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0
BNP,BNP,44.68,44.68,17454,4,9,0.4306464,1,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1
BNP,BRF,44.68,63,891,4,2,0.18749544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
BNP,BRF,44.68,63,6102,4,2,0.16955822,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
BNP,BRF,44.68,63,7242,4,4,0.24644537,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0
BNP,HR,44.68,49.82,3998,4,1,0.1248844,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
BNP,HR,44.68,49.82,557,4,1,0.14795273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BNP,HR,44.68,49.82,7146,4,1,0.14795273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BNP,HR,44.68,49.82,3221,4,4,0.29041943,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
BNP,HR,44.68,49.82,5042,4,4,0.20953329,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
BNP,HR,44.68,49.82,19851,4,7,0.31352354,0,0,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1
BNP,LA,44.68,31.78,578,4,1,0.14795273,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
BNP,LA,44.68,31.78,1956,4,1,0.14624001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BNP,VRO,44.68,0,1215,4,1,0.14624001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
BNP,VRO,44.68,0,5442,4,2,0.20551808,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
BNP,VRO,44.68,0,10350,4,6,0.31066363,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1
BNP,VRO,44.68,0,9898,4,8,0.4213709,1,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,0
